id	date	views	dur	mult	denom	n	title
lNm5bLoaKJc	20260822	66	1097	0.0	1373.5	18	"1억 3천 쓰고 빈손으로 돌아왔다" 중국 유학생 53만 명이 한꺼번에 밀려난 진짜 이유
jc-ef3bV7Ic	20260821	1111	1149	0.7	1636	19	"도시에 사람이 없다" | 사람 제일 많다던 중국이 20대 213만 명을 밀어낸 이유 | 계획서에 적힌 여덟 글자와 불 꺼진 베이징 창문
6ft_Ayp_xD0	20260819	2060	1148	1.9	1111	21	"48시간 안에 나가라" | 돈줄을 쥔 중국이 니제르에서 대표 3명을 사흘 만에 잃은 이유 | 계약서에 심어 둔 조항과 되돌아오지 않는 돈
qZYJO--Z4jc	20260818	7606	1078	5.5	1373.5	22	`중국 인구 14억은 허상이다? \| 소리 없이 지워진 중국 14억 인구의 행방 \| 하루에도 문 닫는 학교와 장부에만 남은 사람들
CrXCdbbuVEE	20260817	2867	1118	2.6	1111	23	"예순 넘으면 나가라" | 일손 넘친다던 중국이 국경 마을에 하루 10만 명을 들여앉힌 이유 | 중국이 제 인부를 나이로 잘라내고 국경 밖에서 메운 자리
C_iAv0sKVpE	20260816	2459	1091	2.2	1111	23	1,890조 뿌린 중국이 받아 든 지옥의 청구서 | 남의 통장까지 잡아 놓고 현금은 한 푼도 못 만진다
CRX1Pk4jYDY	20260815	1636	1106	1.2	1420.0	24	"6만 채를 쓸어 담았다" 중국 부자들이 이 동네부터 사들인 이유
7C-s4Kf9FhE	20260814	48507	1295	43.7	1111	25	"전원 지금 당장 돌아와라" | 세계의 공장 중국이 인도에서 기술자 300명을 걷어들인 이유 | 일대일로가 남긴 빚더미와 비어 가는 중국 공사판
yAWJIXMQVss	20260813	5023	1284	3.7	1373.5	26	"일본 한마디에 뒤집어졌다" 발등 찍힌 중국 속사정
euDQTqxyn78	20260812	2368	1338	2.1	1111	27	"중국 공장 싹다 빼" 삼성이 34년 된 중국 공장 버리고 나온 이유
ysHQ-U4kM-k	20260811	487	1375	0.3	1682.5	28	"중국 청년들이 완전히 포기했다" 중국 공무원들이 월급을 못 받고 있는 중국 지금 벌어지는 일
-lvhwfjkKns	20260810	34223	1329	30.8	1111	29	'다시는 안 속는다' 56개국이 매긴 성적표...어쩌다 온 세계가 중국에 등을 돌렸나 '반중정서'
jndxTqE5iUw	20260809	760	1268	0.5	1682.5	30	"바닷길 하나면 끝장난다" 1조 달러 벌어들인 중국이 전쟁만은 못 꺼내는 속사정
bUrN6YX93pE	20260808	90	1229	0.1	1682.5	30	"우크라이나 판을 뒤집었다" 12년 만에 크림반도 되찾나
kNudS5EmgpA	20260805	273	1348	0.2	1729	33	사람도 기름도 밑천 바닥 러시아 북한 거덜 난 이유 | 북한군 3만 명 파병
_9813h4N6Dg	20260804	217	1382	0.1	1682.5	34	"중국산 쌀·떡 카드뮴 15만 7천 톤", 원산지를 확인해도 국가명이 없다
xNZfSwCSdVM	20260803	892	1045	0.5	1636	35	"한국 옷인 줄 알고 샀는데요?" 중국에서 한푸로 이만큼 벌었다고? 한복 매출의 무려 19배나 벌었다.
hBJ4dBecTeM	20260802	983	1281	0.6	1636	35	"3만명이 또 파병된다" 초토화된 러시아 본토 상황 심상치 않은 평양 분위기
zgJi9GHckW4	20260801	94	1300	0.1	1636	35	"전쟁으로 20조를 벌었다" 북한 쌀값 사실상 역대 최고, 곧 평양이 무너져내린다
rtlfboWZ9l4	20260731	2414	1181	1.8	1373.5	34	"입을 막으려 만든 법" 중국의 70년 지배에 대한 분노가 드디어 폭발.  세계로 번지는 티베트의 분노
Nh5d5pyYnNA	20260730	1729	1152	1.1	1636	33	"역대 최악의 상황" 세계 2위 중국이 자기 통계를 지운 진짜 이유 | 물가·집값·인구·청년·지방빚 5대 뇌관의 연쇄
HV4yrfwJrrQ	20260729	576	1270	0.3	1729	33	북한, 진짜 전쟁 준비 중인가? 휴전선 코앞까지 내려온 북한
kucIDbXm1m4	20260728	4107	934	3.1	1316.5	32	"중국인만 골라서 친다" 중국, 전쟁도 아닌데 안에서 무너지는 이유
Pue1xOJNbrs	20260727	158	1036	0.1	1636	31	"316조 부어줬는데 왜 못 쓸까요?" 중국이 자국 배터리 대신 삼성·LG에 줄 선 진짜 이유
